name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
DEXRAZOXANE HYDROCHLORIDE,CHEMBL1200778,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1.Cl,-4.290135476331093,0.2438132334478347,O=C1CN(CCN2CC(=O)NC(=O)C2)CC(=O)N1
MIGALASTAT HYDROCHLORIDE,CHEMBL2107355,Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,-4.289570815433462,0.2613183495207606,C1CCNCC1
THIAMYLAL SODIUM,CHEMBL1201065,C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O.[Na+],-4.288785813565179,0.2638012587444474,O=C1CC(=O)NC(=S)[N-]1
THIOPENTAL SODIUM,CHEMBL738,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],-4.287030563183596,0.2591558998649611,O=C1CC(=O)NC(=S)[N-]1
SECOBARBITAL SODIUM,CHEMBL1200903,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+],-4.28454377229492,0.2600799162979028,O=C1CC(=O)NC(=O)[N-]1
PITOLISANT HYDROCHLORIDE,CHEMBL4164059,Cl.Clc1ccc(CCCOCCCN2CCCCC2)cc1,-4.276913380246784,0.2413175389728076,c1ccc(CCCOCCCN2CCCCC2)cc1
TRIMETAZIDINE DIHYDROCHLORIDE,CHEMBL3561076,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl.Cl,-4.274578316309105,0.2457062604710864,c1ccc(CN2CCNCC2)cc1
TIZANIDINE HYDROCHLORIDE,CHEMBL1200329,Cl.Clc1ccc2nsnc2c1NC1=NCCN1,-4.262672460791976,0.3292563006048248,c1cc(NC2=NCCN2)c2nsnc2c1
NAPHAZOLINE HYDROCHLORIDE,CHEMBL1706,Cl.c1ccc2c(CC3=NCCN3)cccc2c1,-4.251350937737876,0.3536791857163148,c1ccc2c(CC3=NCCN3)cccc2c1
ROPIVACAINE HYDROCHLORIDE,CHEMBL1889140,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,-4.248356584754112,0.2359530078424377,O=C(Nc1ccccc1)[C@@H]1CCCCN1
PRAMOXINE HYDROCHLORIDE,CHEMBL1201171,CCCCOc1ccc(OCCCN2CCOCC2)cc1.Cl,-4.24814373799418,0.1872664351080995,c1ccc(OCCCN2CCOCC2)cc1
GUANETHIDINE MONOSULFATE,CHEMBL1345,N=C(N)NCCN1CCCCCCC1.O=S(=O)(O)O,-4.2476391123569694,0.2601293598994605,C1CCCNCCC1
PENTOBARBITAL SODIUM,CHEMBL971,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+],-4.247366832485008,0.2636403564777543,O=C1CC(=O)NC=N1
ACORAMIDIS,CHEMBL3940890,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,-4.245624056333174,0.386050532959995,c1ccc(OCCCc2cn[nH]c2)cc1
DIETHYLSTILBESTROL,CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.242317146602589,0.265108861624477,C(=Cc1ccccc1)c1ccccc1
ARTICAINE HYDROCHLORIDE,CHEMBL1200819,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC.Cl,-4.240372569481313,0.2465594056432676,c1ccsc1
IMIPENEM ANHYDROUS,CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,-4.239144173623189,0.259104896140826,O=C1C[C@H]2CC=CN12
ETHINAMATE,CHEMBL1576,C#CC1(OC(N)=O)CCCCC1,-4.23811182637855,0.228188534298057,C1CCCCC1
AMOBARBITAL SODIUM,CHEMBL2105941,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+],-4.233987490784739,0.2713086547255893,O=C1CC(=O)NC=N1
TETRAHYDROZOLINE HYDROCHLORIDE,CHEMBL1200413,Cl.c1ccc2c(c1)CCCC2C1=NCCN1,-4.232102698309482,0.2899430948310928,c1ccc2c(c1)CCCC2C1=NCCN1
XYLOMETAZOLINE HYDROCHLORIDE,CHEMBL1256400,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,-4.230984115851961,0.2833073344346744,c1ccc(CC2=NCCN2)cc1
MEPTAZINOL HYDROCHLORIDE,CHEMBL1477274,CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,-4.2263895041703705,0.2732792241429302,c1ccc(C2CCCCNC2)cc1
MEPIVACAINE HYDROCHLORIDE,CHEMBL1200440,Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl,-4.226304067558011,0.2535763230866976,O=C(Nc1ccccc1)C1CCCCN1
TRANYLCYPROMINE,CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,-4.224767993122721,0.3260206530560396,c1ccc(C2CC2)cc1.c1ccc(C2CC2)cc1
SULFADIAZINE SODIUM,CHEMBL1200351,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Na+],-4.217699683265546,0.2822212200488346,O=S(=O)([N-]c1ncccn1)c1ccccc1
PHENYTOIN SODIUM,CHEMBL1611,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+],-4.203804701000975,0.3833676377899134,O=C1N=CNC1(c1ccccc1)c1ccccc1
