name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
ETOMIDATE,-6.637,-0.800453021913307,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(Cn2ccnc2)cc1
ACYCLOVIR,-6.632,-0.7968690631784386,L5_Weak,Other,chembl_ml_screen,3.0,O=c1[nH]cnc2[nH]cnc12
LOMUSTINE,-6.629,-0.7947186879375175,L5_Weak,Other,chembl_ml_screen,3.0,C1CCCCC1
MELATONIN,-6.609,-0.780382852998044,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2[nH]ccc2c1
NICOTINE,-6.603,-0.7760821025162017,L5_Weak,Other,chembl_ml_screen,3.0,c1cncc([C@@H]2CCCN2)c1
CLAVULANIC ACID,-6.603,-0.7760821025162017,L5_Weak,Carboxylic_acid,chembl_ml_screen,3.0,C=C1CN2C(=O)C[C@H]2O1
NAPHAZOLINE,-6.603,-0.7760821025162017,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2c(CC3=NCCN3)cccc2c1
CLOBENZOREX,-6.597,-0.77178135203436,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(CCNCc2ccccc2)cc1
FENCLOFENAC,-6.593,-0.7689141850464649,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(Oc2ccccc2)cc1
NITISINONE,-6.583,-0.7617462675767283,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCCC(=O)C1C(=O)c1ccccc1
AMINOREX,-6.575,-0.7560119336009387,L5_Weak,Other,chembl_ml_screen,3.0,C1=NCC(c2ccccc2)O1
PILOCARPINE,-6.571,-0.7531447666130436,L5_Weak,Other,chembl_ml_screen,3.0,O=C1C[C@@H](Cc2cnc[nH]2)CO1
MECLOFENAMIC ACID,-6.567,-0.7502775996251492,L5_Weak,Fenamate,chembl_ml_screen,3.0,c1ccc(Nc2ccccc2)cc1
DEXMEDETOMIDINE,-6.566,-0.7495608078781753,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(Cc2c[nH]cn2)cc1
METHYPRYLON,-6.563,-0.747410432637254,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCNC(=O)C1
TEMOZOLOMIDE,-6.538,-0.7294906389629122,L5_Weak,Other,chembl_ml_screen,3.0,O=c1[nH]nnc2cncn12
MILNACIPRAN,-6.532,-0.7251898884810699,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(C2CC2)cc1
PINDOLOL,-6.51,-0.7094204700476485,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2[nH]ccc2c1
DIROXIMEL FUMARATE,-6.501,-0.7029693443248858,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCC(=O)N1
PRAMIPEXOLE,-6.497,-0.7001021773369906,L5_Weak,Other,chembl_ml_screen,3.0,c1nc2c(s1)CCCC2
PHENYL AMINOSALICYLATE,-6.485,-0.6915006763733067,L5_Weak,Other,chembl_ml_screen,3.0,O=C(Oc1ccccc1)c1ccccc1
CEDAZURIDINE,-6.483,-0.6900670928793589,L5_Weak,Other,chembl_ml_screen,3.0,O=C1NCCCN1[C@H]1CCCO1
ISOCARBOXAZID,-6.468,-0.6793152166747537,L5_Weak,Other,chembl_ml_screen,3.0,O=C(NNCc1ccccc1)c1ccon1
CHLOROTHIAZIDE,-6.464,-0.6764480496868593,L5_Weak,Other,chembl_ml_screen,3.0,O=S1(=O)NC=Nc2ccccc21
ZILEUTON,-6.452,-0.6678465487231747,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2sccc2c1
THIAMYLAL,-6.439,-0.6585282560125167,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CC(=O)NC(=S)N1
PHENYLBUTANOIC ACID,-6.436,-0.6563778807715956,L5_Weak,Carboxylic_acid,chembl_ml_screen,3.0,c1ccccc1
SULTHIAME,-6.404,-0.6334405448684376,L5_Weak,Other,chembl_ml_screen,3.0,O=S1(=O)CCCCN1c1ccccc1
BRIVARACETAM,-6.395,-0.6269894191456741,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCCN1
FENOPROFEN,-6.394,-0.6262726273987008,L5_Weak,Profens,chembl_ml_screen,3.0,c1ccc(Oc2ccccc2)cc1
MOLSIDOMINE,-6.393,-0.6255558356517269,L5_Weak,Other,chembl_ml_screen,3.0,c1c[n+](N2CCOCC2)no1
ZOLEDRONIC ACID ANHYDROUS,-6.393,-0.6255558356517269,L5_Weak,Carboxylic_acid,chembl_ml_screen,3.0,c1c[nH]cn1
ETHOTOIN,-6.392,-0.6248390439047535,L5_Weak,Other,chembl_ml_screen,3.0,O=C1NC(=O)C(c2ccccc2)N1
CARTEOLOL,-6.374,-0.6119367924592267,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCc2ccccc2N1
DEXMETHYLPHENIDATE,-6.361,-0.6026184997485687,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(C[C@H]2CCCCN2)cc1
NITROFURAZONE,-6.36,-0.6019017080015955,L5_Weak,Other,chembl_ml_screen,3.0,c1ccoc1
PROPAFENONE,-6.357,-0.5997513327606744,L5_Weak,Other,chembl_ml_screen,3.0,O=C(CCc1ccccc1)c1ccccc1
TYROSINE,-6.356,-0.5990345410137005,L5_Weak,Amino_acid,chembl_ml_screen,3.0,c1ccccc1
GABAPENTIN,-6.35,-0.5947337905318582,L5_Weak,Other,chembl_ml_screen,3.0,C1CCCCC1
