name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
EZOGABINE,CHEMBL41355,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,-3.659196967541377,0.2641158089194664
CHLORTHALIDONE,CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.658811468048623,0.296611019697481
ACETOHEXAMIDE,CHEMBL1589,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-3.653677244161495,0.1862594713636238
BEMPEDOIC ACID,CHEMBL3545313,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,-3.6508739256353273,0.2548789171362284
PROCAINAMIDE,CHEMBL640,CCN(CC)CCNC(=O)c1ccc(N)cc1,-3.646082276914379,0.2462459462040434
RITLECITINIB,CHEMBL4085457,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,-3.645590614922176,0.2656641774492932
ALPROSTADIL,CHEMBL495,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,-3.635496266861231,0.3723200575305353
RAMOSETRON,CHEMBL1643895,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,-3.63532279086748,0.2928843734175252
FLUPIRTINE,CHEMBL255044,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,-3.634884282373412,0.245788305353391
PRAZEPAM,CHEMBL969,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,-3.6229399713926034,0.3110862825250064
