name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
PHENMETRAZINE,CHEMBL1201208,CC1NCCOC1c1ccccc1,-4.9327932414975155,0.3118660091645008
PHENMETRAZINE HYDROCHLORIDE,CHEMBL1200483,CC1NCCOC1c1ccccc1.Cl,-4.932206173820748,0.31243760350845756
BENZOYL PEROXIDE,CHEMBL1200370,O=C(OOC(=O)c1ccccc1)c1ccccc1,-4.93103533140843,0.3519568463740357
FELBINAC,CHEMBL413965,O=C(O)Cc1ccc(-c2ccccc2)cc1,-4.929843023883304,0.3928665954080642
NIACIN,CHEMBL573,O=C(O)c1cccnc1,-4.928273474816712,0.31080314185556496
CHLORPHENESIN CARBAMATE,CHEMBL607710,NC(=O)OCC(O)COc1ccc(Cl)cc1,-4.927927454976199,0.33713540472723535
RADIUM RA 223 DICHLORIDE,CHEMBL2107816,Cl[223Ra]Cl,-4.926056772655873,0.2245315094625443
MEQUINOL,CHEMBL544,COc1ccc(O)cc1,-4.92577229338561,0.22143224748013415
MEBANAZINE,CHEMBL1909283,CC(NN)c1ccccc1,-4.924947726167604,0.2642453402851533
PYRITHIONE ZINC,CHEMBL1200471,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],-4.924412936136306,0.28266238290929924
MEFENOREX,CHEMBL2110962,CC(Cc1ccccc1)NCCCCl,-4.9241019834160635,0.3223070221656536
DIMETHYL FUMARATE,CHEMBL2107333,COC(=O)/C=C/C(=O)OC,-4.918088698795537,0.21611636177478272
POLIHEXANIDE,CHEMBL2106939,CCCCCCNC(=N)NC(=N)N,-4.917587173604083,0.21603845833518454
IODOHIPPURATE,CHEMBL1681,O=C(O)CNC(=O)c1ccccc1I,-4.913818266007914,0.4026799512005363
NAFTAZONE,CHEMBL2106794,NC(=O)N/N=C1\C=Cc2ccccc2C1=O,-4.913741673691065,0.3542270024262345
NOREPINEPHRINE,CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,-4.913598977448469,0.25625203053423284
SILVER NITRATE,CHEMBL177367,O=[N+]([O-])[O-].[Ag+],-4.913539673221913,0.2210433030416053
PHENOBARBITAL,CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-4.912207700724995,0.3736986638157601
METYROSINE,CHEMBL1200862,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,-4.909496097211568,0.35530074051597577
NEOSTIGMINE,CHEMBL278020,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,-4.908180437965992,0.3548917119961964
GUANABENZ ACETATE,CHEMBL1200560,CC(=O)O.N=C(N)N/N=C/c1c(Cl)cccc1Cl,-4.9073159867953695,0.373593577922569
BENZNIDAZOLE,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-4.90308519420932,0.34705110163951436
DACARBAZINE,CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O,-4.9020159182838565,0.27432792437922615
CARMUSTINE,CHEMBL513,O=NN(CCCl)C(=O)NCCCl,-4.901797632117605,0.2590383102824527
SELENOMETHIONINE,CHEMBL113178,C[Se]CC[C@H](N)C(=O)O,-4.900673224314279,0.33566697869265566
AMPHETAMINE SULFATE,CHEMBL501,CC(N)Cc1ccccc1.O=S(=O)(O)O,-4.898618190267606,0.3402292745032672
METHYL AMINOLEVULINATE HYDROCHLORIDE,CHEMBL1201093,COC(=O)CCC(=O)CN.Cl,-4.898030331806581,0.2079738471113545
ALLOPURINOL,CHEMBL1467,Oc1ncnc2[nH]ncc12,-4.897826518313506,0.27540147473841864
METHYL AMINOLEVULINATE,CHEMBL1096562,COC(=O)CCC(=O)CN,-4.896793289139914,0.2042670573103321
FOSCARNET,CHEMBL666,O=C(O)P(=O)(O)O,-4.896105767251569,0.2545949094663438
TAVABOROLE,CHEMBL443052,OB1OCc2cc(F)ccc21,-4.891728843322305,0.2811281915407372
METFORMIN HYDROCHLORIDE,CHEMBL1703,CN(C)C(=N)NC(=N)N.Cl,-4.887821612229035,0.2109406839954699
PENICILLAMINE,CHEMBL1430,CC(C)(S)[C@@H](N)C(=O)O,-4.887037834373042,0.3004489269869518
GUAIFENESIN,CHEMBL980,COc1ccccc1OCC(O)CO,-4.884487947844766,0.28264416119280567
FENCLOFENAC,CHEMBL15677,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,-4.883615235577465,0.45768257902969894
CHLOROXINE,CHEMBL1200596,Oc1c(Cl)cc(Cl)c2cccnc12,-4.879877556678112,0.33706983555586667
METFORMIN,CHEMBL1431,CN(C)C(=N)NC(=N)N,-4.876415858495175,0.20797957596222888
LACOSAMIDE,CHEMBL58323,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,-4.872870884860182,0.33219815059644936
