name,best_affinity,all_affinities
"4a-(4-fluorophenyl)-4,5,6,7-tetrahydroisoquin",-7.497,"[-7.497, -7.298, -7.245, -6.737, -6.566, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-5-methyl-1,3-diazinane-2,",-7.495,"[-7.495, -7.326, -6.82, -6.777, -5.644, 0.0, 1.0, 10.0, 16.0]"
"1-methyl-5-phenyl-1,3-diazinane-2,4,6-trione",-7.492,"[-7.492, -7.244, -7.067, -6.253, -5.64, 0.0, 1.0, 10.0, 16.0]"
"5-[(Z)-but-2-en-2-yl]-5-propyl-1,3-diazinane-",-7.483,"[-7.483, -7.233, -7.155, -6.887, -6.738, 0.0, 1.0, 10.0, 16.0]"
"5-(2-aminopropan-2-yl)-5-methyl-1,3-diazinane",-7.48,"[-7.48, -7.105, -6.971, -6.665, -6.581, 0.0, 1.0, 10.0, 16.0]"
"5-fluoro-5-phenyl-1,3-diazinane-2,4,6-trione",-7.471,"[-7.471, -6.236, -5.765, -5.696, -5.144, 0.0, 1.0, 10.0, 16.0]"
"3-(3,4-difluorophenyl)-3-piperidin-4-ylpiperi",-7.465,"[-7.465, -6.173, -6.065, -4.691, -4.595, 0.0, 1.0, 10.0, 16.0]"
"3-benzylpiperidine-2,6-dione",-7.458,"[-7.458, -7.334, -7.151, -6.897, -6.78, 0.0, 1.0, 10.0, 16.0]"
2-ethyl-2-phenylpropanediamide,-7.456,"[-7.456, -6.987, -6.775, -6.692, -6.337, 0.0, 1.0, 10.0, 16.0]"
"5,5-di(propan-2-yl)-1,3-diazinane-2,4,6-trion",-7.454,"[-7.454, -7.409, -7.195, -7.083, -7.051, 0.0, 1.0, 10.0, 16.0]"
"1,3-diacetyl-5,5-diethyl-1,3-diazinane-2,4,6-",-7.449,"[-7.449, -6.644, -6.554, -6.466, -6.298, 0.0, 1.0, 10.0, 16.0]"
"1-phenyl-3-azabicyclo[3.1.0]hexane-2,4-dione",-7.447,"[-7.447, -7.124, -7.084, -6.947, -6.887, 0.0, 1.0, 10.0, 16.0]"
"5,5-dipropyl-1,3-diazinane-2,4,6-trione",-7.442,"[-7.442, -7.105, -7.083, -6.721, -6.65, 0.0, 1.0, 10.0, 16.0]"
"5,5-bis(2-methylpropyl)-1,3-diazinane-2,4,6-t",-7.439,"[-7.439, -7.126, -6.771, -6.597, -6.476, 0.0, 1.0, 10.0, 16.0]"
