name,best_affinity,source
"5-(2-phenylpropylidene)-1,3-diazinane-2,4,6-t",-7.954,pathc_v2
AVIBACTAM,-7.949,fda_leftover
"5-ethyl-2-hydroxy-5-phenyl-1,3-diazinane-4,6-",-7.937,pathc_v2
"11-ethyl-2,4-diazaspiro[5.5]undec-8-ene-1,3,5",-7.936,pathc_v2
"5-[(Z)-but-2-en-2-yl]-5-butyl-1,3-diazinane-2",-7.933,pathc_v2
(3S)-3-(7-amino-3-oxo-1H-isoindol-2-yl)piperidine-,-7.93,glutarimide
"4-(aminomethyl)naphthalene-1,2-dione",-7.929,glutarimide
"2,4-dimethyl-11-methylidene-2,4-diazaspiro[5.",-7.929,pathc_v2
"4-(2,3-difluorophenyl)-4-methylpiperidine-2,6-dion",-7.928,glutarimide
"3-(2-fluorophenyl)-5,5,6,6-tetramethylpiperid",-7.925,pathc_v2
"3-methyl-3-phenyl-1-(2,2,2-trifluoroethyl)piperidi",-7.924,glutarimide
"2-(2-methylaziridin-1-yl)naphthalene-1,4-dione",-7.922,glutarimide
"2-chloro-2,2-diphenylacetamide",-7.921,glutarimide
"3-benzyl-4-methylpyrrole-2,5-dione",-7.919,glutarimide
"5-(2-methylpropyl)-5-propan-2-yl-1,3-diazinan",-7.917,pathc_v2
"4-(3-methylphenyl)piperidine-2,6-dione",-7.917,glutarimide
"3-[(2-chloro-4-fluorophenyl)methyl]piperidine-2,6-",-7.907,glutarimide
"5,5,5-trifluoro-2-methyl-2-phenylpentanamide",-7.907,glutarimide
"5-(2,2-dimethylpropyl)-5-ethyl-1,3-diazinane-",-7.906,pathc_v2
2-chloro-2-phenyl-N-(trifluoromethyl)acetamide,-7.904,glutarimide
"3-[(2,6-difluorophenyl)methyl]piperidine-2,6-",-7.902,pathc_v2
"2-chloro-3-isocyanatonaphthalene-1,4-dione",-7.901,glutarimide
"(2E)-N-(2,6-dioxopiperidin-3-yl)-2-methylpenta-2,4",-7.9,glutarimide
"3-benzyl-1-methylpiperidine-2,6-dione",-7.898,pathc_v2
5-(cyclohexen-1-yl)-1-methyl-5-(trideuteriome,-7.897,pathc_v2
"4,4,4-trifluoro-N-(1-methoxy-2-methylpropan-2-yl)-",-7.896,glutarimide
"5-(cyclohexen-1-yl)-1-methyl-5-prop-2-enyl-1,",-7.896,pathc_v2
(Z)-3-amino-4-oxo-4-phenylbut-2-enoyl chloride,-7.887,glutarimide
"4,4-bis(prop-2-enyl)isoquinoline-1,3-dione",-7.885,glutarimide
"3-[(3-chloro-2-fluorophenyl)methyl]piperidine-2,6-",-7.882,glutarimide
"2-(methoxymethyl)isoindole-1,3-dione",-7.88,glutarimide
"3-[4-(aminomethyl)-2-fluorophenyl]piperidine-2,6-d",-7.88,glutarimide
"1,3-dihydrobenzo[f]benzimidazole-2,4,9-trione",-7.878,glutarimide
"5-(2,3,5-trifluorophenyl)piperidin-2-one",-7.874,glutarimide
"5-acetyl-4-(4-fluorophenyl)-6-methyl-3,4-dihydro-1",-7.874,glutarimide
"3-[(3-bromophenyl)methyl]piperidine-2,6-dione",-7.872,glutarimide
"5-tert-butyl-5-ethyl-1,3-diazinane-2,4,6-trio",-7.867,pathc_v2
"5-tert-butyl-5-methyl-1,3-diazinane-2,4,6-tri",-7.867,pathc_v2
"(2E,4Z)-N-(2,6-dioxopiperidin-3-yl)-2-methyl-N-pro",-7.863,glutarimide
"(2E,4Z)-N-(2,6-dioxopiperidin-3-yl)-2-methylhexa-2",-7.858,glutarimide
"(6S)-5,5-difluoro-6-(fluoromethyl)-6-(2-fluorophen",-7.855,glutarimide
"5-cyclohepta-1,3-dien-1-yl-5-ethyl-1,3-diazin",-7.851,pathc_v2
"(5R)-5-ethyl-1-methyl-5-phenyl-1,3-diazinane-",-7.849,pathc_v2
1-(3-fluorophenyl)-3-azabicyclo[3.1.0]hexane-,-7.848,pathc_v2
N-acetyl-3-oxo-2-phenylbutanamide,-7.845,pathc_v2
"4,4,4-trifluoro-2-methyl-2-phenylbutanamide",-7.843,glutarimide
"(2E,4Z)-N-(2,6-dioxopiperidin-3-yl)-2-methylhepta-",-7.843,glutarimide
"5-benzyl-5-prop-2-enyl-1,3-diazinane-2,4,6-tr",-7.837,pathc_v2
2-phenyl-2-(trifluoromethyl)pentanamide,-7.834,glutarimide
3-(7-methylsulfanyl-3-oxo-1H-isoindol-2-yl)piperid,-7.828,glutarimide
CYCLOBARBITAL,-7.826,docking_batch_results.csv
"3-(2-phenylethyl)pyrrolidine-2,5-dione",-7.825,glutarimide
FROVATRIPTAN,-7.82,fda_leftover
"3-ethyl-3-phenylpyridine-2,6-dione",-7.819,pathc_v2
"3-(2,5-difluorophenyl)piperidine-2,6-dione",-7.819,glutarimide
3-[(4-fluorophenyl)methyl]piperidin-2-one,-7.817,glutarimide
"(6S)-6-(difluoromethyl)-5,5-difluoro-6-(2-fluoroph",-7.816,glutarimide
1-[3-(trifluoromethyl)phenyl]cyclopropane-1-carbox,-7.816,glutarimide
"5-ethyl-5-(2-methylbut-3-yn-2-yl)-1,3-diazina",-7.814,pathc_v2
"(6S)-6-(difluoromethyl)-5,5-difluoro-6-phenylpiper",-7.813,glutarimide
"(3S,10bR)-3-methyl-7-(trifluoromethyl)-2,3,4,10b-t",-7.809,glutarimide
"5-ethyl-1-(methylsulfanylmethyl)-5-phenyl-1,3",-7.803,pathc_v2
"3-amino-3,3a-dihydrobenzo[b]phenalen-7-one",-7.802,glutarimide
5-benzyl-3-methylpiperidin-2-one,-7.802,glutarimide
"3-(4-iodophenyl)piperidine-2,6-dione",-7.795,glutarimide
2-(1-phenylcyclohexyl)acetamide,-7.792,glutarimide
"4-aminonaphthalene-1,2-dione",-7.79,glutarimide
"3,3,3-trifluoro-2-methyl-2-phenylpropanamide",-7.788,glutarimide
(3S)-3-[(4-fluorophenyl)methyl]piperidin-2-one,-7.787,glutarimide
