name,best_affinity,all_affinities
SULFATHIAZOLE,-6.053,"[-6.053, -6.016, -5.721, -5.67, -5.412, 0.0, 1.0, 10.0, 16.0]"
DOBUTAMINE,-6.043,"[-6.043, -5.988, -5.324, -5.141, -4.383, 0.0, 1.0, 10.0, 16.0]"
INAMRINONE,-6.033,"[-6.033, -5.769, -5.565, -5.52, -4.979, 0.0, 1.0, 10.0, 16.0]"
THIOGUANINE,-6.026,"[-6.026, -5.763, -5.554, -5.476, -5.407, 0.0, 1.0, 10.0, 16.0]"
PROPYLTHIOURACIL,-6.022,"[-6.022, -6.003, -5.344, -5.337, -5.301, 0.0, 1.0, 10.0, 16.0]"
PROPYLHEXEDRINE,-6.0,"[-6.0, -5.776, -5.761, -5.62, -5.547, 0.0, 1.0, 10.0, 16.0]"
NALIDIXIC ACID,-5.997,"[-5.997, -5.982, -5.276, -4.845, -4.374, 0.0, 1.0, 10.0, 16.0]"
HEPTABARBITAL,-5.997,"[-5.997, -5.965, -5.882, -5.683, -5.631, 0.0, 1.0, 10.0, 16.0]"
CHLORNAPHAZINE,-5.981,"[-5.981, -5.976, -5.55, -5.514, -4.98, 0.0, 1.0, 10.0, 16.0]"
PRALIDOXIME,-5.969,"[-5.969, -5.879, -5.511, -5.493, -5.185, 0.0, 1.0, 10.0, 16.0]"
FLOXURIDINE,-5.964,"[-5.964, -5.77, -5.623, -5.592, -5.487, 0.0, 1.0, 10.0, 16.0]"
FAVIPIRAVIR,-5.962,"[-5.962, -5.716, -5.707, -5.598, -5.504, 0.0, 1.0, 10.0, 16.0]"
PROTRIPTYLINE,-5.954,"[-5.954, -5.778, -5.536, -5.143, -5.125, 0.0, 1.0, 10.0, 16.0]"
KETOROLAC,-5.941,"[-5.941, -5.158, -3.63, -3.346, -3.311, 0.0, 1.0, 10.0, 16.0]"
LEVETIRACETAM,-5.939,"[-5.939, -5.938, -5.778, -5.754, -5.718, 0.0, 1.0, 10.0, 16.0]"
CHLOROXINE,-5.928,"[-5.928, -5.868, -5.834, -5.604, -5.599, 0.0, 1.0, 10.0, 16.0]"
PHENOXYBENZAMINE,-5.919,"[-5.919, -5.914, -5.413, -5.382, -5.352, 0.0, 1.0, 10.0, 16.0]"
THALIDOMIDE,-5.917,"[-5.917, -5.671, -4.935, -3.333, -3.318, 0.0, 1.0, 10.0, 16.0]"
CAPTOPRIL,-5.906,"[-5.906, -5.879, -5.86, -5.757, -5.578, 0.0, 1.0, 10.0, 16.0]"
IFOSFAMIDE,-5.892,"[-5.892, -5.54, -5.488, -5.35, -5.279, 0.0, 1.0, 10.0, 16.0]"
PRIMAQUINE,-5.882,"[-5.882, -5.589, -5.547, -5.442, -5.415, 0.0, 1.0, 10.0, 16.0]"
PYRIMETHAMINE,-5.865,"[-5.865, -5.557, -4.961, -4.327, -3.709, 0.0, 1.0, 10.0, 16.0]"
ETHIONAMIDE,-5.858,"[-5.858, -5.843, -5.642, -5.553, -5.387, 0.0, 1.0, 10.0, 16.0]"
MEFENAMIC ACID,-5.856,"[-5.856, -5.843, -5.703, -5.609, -5.109, 0.0, 1.0, 10.0, 16.0]"
DACARBAZINE,-5.854,"[-5.854, -5.729, -5.646, -5.171, -5.09, 0.0, 1.0, 10.0, 16.0]"
SAFINAMIDE,-5.809,"[-5.809, -5.732, -4.98, -4.46, -4.446, 0.0, 1.0, 10.0, 16.0]"
ISONIAZID,-5.798,"[-5.798, -5.688, -5.686, -5.149, -5.103, 0.0, 1.0, 10.0, 16.0]"
HEXESTROL,-5.792,"[-5.792, -5.758, -5.634, -4.471, -3.899, 0.0, 1.0, 10.0, 16.0]"
MEDIFOXAMINE,-5.78,"[-5.78, -5.679, -5.486, -3.512, -3.26, 0.0, 1.0, 10.0, 16.0]"
LABETALOL,-5.778,"[-5.778, -5.621, -5.01, -4.743, -4.076, 0.0, 1.0, 10.0, 16.0]"
TICRYNAFEN,-5.775,"[-5.775, -5.284, -4.535, -2.087, -1.992, 0.0, 1.0, 10.0, 16.0]"
METRONIDAZOLE,-5.775,"[-5.775, -5.747, -5.635, -5.549, -5.392, 0.0, 1.0, 10.0, 16.0]"
BENORILATE,-5.763,"[-5.763, -5.047, -4.217, -4.051, -4.042, 0.0, 1.0, 10.0, 16.0]"
PERFLUTREN,-5.757,"[-5.757, -5.753, -5.741, -5.649, 0.0, 1.0, 10.0, 16.0]"
CYCLOPHOSPHAMIDE ANHYDROUS,-5.748,"[-5.748, -5.685, -5.472, -5.427, -5.392, 0.0, 1.0, 10.0, 16.0]"
DIFLUNISAL,-5.724,"[-5.724, -5.125, -4.836, -4.277, -4.04, 0.0, 1.0, 10.0, 16.0]"
TILBROQUINOL,-5.719,"[-5.719, -5.544, -5.331, -5.298, -5.208, 0.0, 1.0, 10.0, 16.0]"
FLUMEXADOL,-5.708,"[-5.708, -5.233, -5.206, -5.038, -4.913, 0.0, 1.0, 10.0, 16.0]"
FENOTEROL,-5.707,"[-5.707, -5.686, -5.59, -5.508, -5.365, 0.0, 1.0, 10.0, 16.0]"
