name,smiles,ml_score
TRIENTINE HYDROCHLORIDE,Cl.Cl.NCCNCCNCCN,-4.684816947198324
SUXAMETHONIUM,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,-4.6834830914753445
PROPRANOLOL HYDROCHLORIDE,CC(C)NCC(O)COc1cccc2ccccc12.Cl,-4.683013051975561
IOFETAMINE,CC(C)NC(C)Cc1ccc(I)cc1,-4.680310081449626
DIMERCAPROL,OCC(S)CS,-4.679836229693401
DEXFENFLURAMINE,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,-4.67863585458684
FENFLURAMINE,CCNC(C)Cc1cccc(C(F)(F)F)c1,-4.67863585458684
AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,-4.6784705894789615
TRIENTINE,NCCNCCNCCN,-4.67753253291261
LIDOCAINE HYDROCHLORIDE,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O,-4.676784514685858
ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-4.675262455653294
RASAGILINE MESYLATE,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,-4.673399097306516
CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-4.670553427516325
CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-4.664604538784758
PHENACETIN,CCOc1ccc(NC(C)=O)cc1,-4.6623443136001566
NABUMETONE,COc1ccc2cc(CCC(C)=O)ccc2c1,-4.659362168164243
ETHACRYNATE SODIUM,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl.[Na+],-4.656223734255179
MEXILETINE HYDROCHLORIDE,Cc1cccc(C)c1OCC(C)N.Cl,-4.655084228772769
DOBESILIC ACID,O=S(=O)(O)c1cc(O)ccc1O,-4.654801104312468
MEXILETINE,Cc1cccc(C)c1OCC(C)N,-4.654729862106103
CHLORAL HYDRATE,OC(O)C(Cl)(Cl)Cl,-4.653907955126636
DEXKETOPROFEN,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-4.649742414685164
ISOETHARINE,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,-4.648857604042492
BARBITAL SODIUM,CCC1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],-4.646193442215386
ISOETHARINE HYDROCHLORIDE,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1.Cl,-4.644890437375826
