name,best_affinity,all_affinities
"5,8-dioxonaphthalene-1-carboxamide",-8.071,"[-8.071, -7.842, -7.641, -7.445, -7.365, 0.0, 1.0, 10.0, 16.0]"
"3-(1,3-dioxoisoindol-2-yl)propanoic acid",-8.06,"[-8.06, -7.649, -7.377, -7.194, -7.156, 0.0, 1.0, 10.0, 16.0]"
"2-(2-oxopiperidin-3-yl)isoindole-1,3-dione",-8.049,"[-8.049, -7.043, -6.711, -6.143, -6.032, 0.0, 1.0, 10.0, 16.0]"
1-phenylcyclohexane-1-carboxamide,-8.048,"[-8.048, -7.979, -7.921, -7.871, -7.391, 0.0, 1.0, 10.0, 16.0]"
"2-azido-3-heptylnaphthalene-1,4-dione",-8.048,"[-8.048, -7.768, -7.584, -7.314, -6.758, 0.0, 1.0, 10.0, 16.0]"
"3-[4-(2-chloroacetyl)phenyl]pyrrole-2,5-dione",-8.047,"[-8.047, -5.51, -5.095, -4.9, -3.746, 0.0, 1.0, 10.0, 16.0]"
2-(cyclohexen-1-yl)-2-phenylacetamide,-8.041,"[-8.041, -7.591, -7.198, -7.029, -6.566, 0.0, 1.0, 10.0, 16.0]"
N-acetyl-2-(4-chlorophenyl)acetamide,-8.033,"[-8.033, -7.068, -6.921, -6.862, -6.824, 0.0, 1.0, 10.0, 16.0]"
"4-(diethylamino)naphthalene-1,2-dione",-8.03,"[-8.03, -5.108, -4.742, -4.159, -3.385, 0.0, 1.0, 10.0, 16.0]"
"5-(1,3-dioxoisoindol-2-yl)pentanoic acid",-8.02,"[-8.02, -7.055, -6.956, -6.786, -6.64, 0.0, 1.0, 10.0, 16.0]"
"3-(3-chlorophenyl)piperidine-2,6-dione",-8.018,"[-8.018, -7.905, -7.706, -7.534, -7.13, 0.0, 1.0, 10.0, 16.0]"
3-[4-(trifluoromethyl)phenyl]propanamide,-8.008,"[-8.008, -7.508, -7.025, -7.015, -6.903, 0.0, 1.0, 10.0, 16.0]"
N-formyl-2-phenylacetamide,-8.007,"[-8.007, -7.98, -7.195, -7.097, -7.073, 0.0, 1.0, 10.0, 16.0]"
1-phenylcyclopentane-1-carboxamide,-8.002,"[-8.002, -7.526, -7.195, -7.175, -7.05, 0.0, 1.0, 10.0, 16.0]"
"5,5-difluoro-6-(fluoromethyl)-6-(2-fluorophenyl)pi",-8.001,"[-8.001, -7.447, -6.552, -5.813, -3.908, 0.0, 1.0, 10.0, 16.0]"
"3-[(2,4-difluorophenyl)methyl]piperidine-2,6-dione",-7.999,"[-7.999, -7.984, -7.897, -6.705, -6.052, 0.0, 1.0, 10.0, 16.0]"
"2-(1,3-dioxoisoindol-2-yl)acetic acid",-7.998,"[-7.998, -7.753, -7.239, -7.165, -6.743, 0.0, 1.0, 10.0, 16.0]"
"4-(2,4-difluorophenyl)-4-methylpiperidine-2,6-dion",-7.996,"[-7.996, -6.951, -6.549, -6.329, -5.775, 0.0, 1.0, 10.0, 16.0]"
"3-amino-4,4,5,5,6,6,6-heptafluoro-1-phenylhex-2-en",-7.992,"[-7.992, -7.715, -7.373, -7.275, -7.239, 0.0, 1.0, 10.0, 16.0]"
"2,2-difluoro-2-[3-fluoro-4-(4-fluorophenyl)phenyl]",-7.981,"[-7.981, -7.294, -7.208, -6.973, -6.41, 0.0, 1.0, 10.0, 16.0]"
"5-benzyl-5-chloro-1,3-diazinane-2,4,6-trione",-7.98,"[-7.98, -7.887, -6.323, -6.102, -5.783, 0.0, 1.0, 10.0, 16.0]"
"3-(3,4-dimethyl-2,5-dioxopyrrol-1-yl)piperidine-2,",-7.979,"[-7.979, -7.074, -7.018, -6.671, -6.63, 0.0, 1.0, 10.0, 16.0]"
"4-amino-3-chloronaphthalene-1,2-dione",-7.979,"[-7.979, -7.329, -7.15, -6.835, -6.534, 0.0, 1.0, 10.0, 16.0]"
"4-piperidin-1-ylnaphthalene-1,2-dione",-7.974,"[-7.974, -6.951, -6.067, -5.911, -5.825, 0.0, 1.0, 10.0, 16.0]"
"3-(2,6-difluorophenyl)piperidine-2,6-dione",-7.96,"[-7.96, -7.088, -6.92, -6.895, -6.872, 0.0, 1.0, 10.0, 16.0]"
(3S)-3-(7-amino-3-oxo-1H-isoindol-2-yl)piperidine-,-7.93,"[-7.93, -5.309, -5.183, -5.126, -4.956, 0.0, 1.0, 10.0, 16.0]"
"4-(aminomethyl)naphthalene-1,2-dione",-7.929,"[-7.929, -7.831, -7.4, -6.95, -6.835, 0.0, 1.0, 10.0, 16.0]"
"4-(2,3-difluorophenyl)-4-methylpiperidine-2,6-dion",-7.928,"[-7.928, -7.663, -6.793, -6.709, -6.193, 0.0, 1.0, 10.0, 16.0]"
"3-methyl-3-phenyl-1-(2,2,2-trifluoroethyl)piperidi",-7.924,"[-7.924, -6.552, -6.365, -5.996, -5.865, 0.0, 1.0, 10.0, 16.0]"
"2-(2-methylaziridin-1-yl)naphthalene-1,4-dione",-7.922,"[-7.922, -7.382, -6.543, -5.878, -5.629, 0.0, 1.0, 10.0, 16.0]"
"2-chloro-2,2-diphenylacetamide",-7.921,"[-7.921, -7.776, -7.721, -7.362, -7.23, 0.0, 1.0, 10.0, 16.0]"
"3-benzyl-4-methylpyrrole-2,5-dione",-7.919,"[-7.919, -7.713, -7.645, -7.479, -7.223, 0.0, 1.0, 10.0, 16.0]"
