name,best_affinity,z_score,hit_level,substructure,family,MW,LogP,HBA,HBD,TPSA,RotBonds,Rings,Carboxyl_count,Amide_count,Urea_count,smiles
AMINOREX,-6.575,-0.7560119336009387,L5_Weak,Other,Other,162.19199999999998,1.0726,3,1,47.61,1,2,0,0,0,NC1=NCC(c2ccccc2)O1
Meclofenamic_Acid,-6.574,-0.6151372273780734,L5_Weak,Fenamate,Fenamate,261.708,4.090220000000002,2,2,49.33,3,2,1,0,0,CC1=CC=C(C(=C1)NC2=CC=CC=C2C(=O)O)Cl
PILOCARPINE,-6.571,-0.7531447666130436,L5_Weak,Small_acid,Other,208.261,1.1618000000000002,3,0,44.12,3,2,1,0,0,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
MECLOFENAMIC ACID,-6.567,-0.7502775996251492,L5_Weak,Fenamate,Fenamate,296.153,4.743620000000003,2,2,49.33,3,2,1,0,0,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
DEXMEDETOMIDINE,-6.566,-0.7495608078781753,L5_Weak,N-heterocycle,Other,200.28500000000003,3.1783400000000013,1,1,28.68,2,2,0,0,0,Cc1cccc([C@H](C)c2c[nH]cn2)c1C
METHYPRYLON,-6.563,-0.747410432637254,L5_Weak,Carbonyl,Other,183.25099999999998,1.1278,2,1,46.17,2,1,0,1,0,CCC1(CC)C(=O)NCC(C)C1=O
TEMOZOLOMIDE,-6.538,-0.7294906389629122,L5_Weak,Carbonyl,Other,194.154,-2.078099999999999,5,1,108.17000000000002,1,2,0,1,0,Cn1nnc2c(C(N)=O)ncn2c1=O
Gemfibrozil,-6.534,-0.6053502433790905,L5_Weak,Carboxylic_acid,Other,250.33799999999994,3.573240000000002,2,1,46.53,6,1,1,0,0,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
Oxaprozin,-6.532,-0.6048608941791415,L5_Weak,Small_acid,Other,217.22399999999993,2.3587999999999996,3,1,63.33,4,2,1,0,0,C1=CC=C(C=C1)C2=CC(=NO2)CCC(=O)O
MILNACIPRAN,-6.532,-0.7251898884810699,L5_Weak,Carbonyl,Other,246.35399999999998,1.7713999999999999,2,1,46.33,5,2,0,1,0,CCN(CC)C(=O)C1(c2ccccc2)CC1CN
PINDOLOL,-6.51,-0.7094204700476485,L5_Weak,N-heterocycle,Other,248.32600000000002,1.9055999999999995,3,3,57.279999999999994,6,2,0,0,0,CC(C)NCC(O)COc1cccc2[nH]ccc12
DIROXIMEL FUMARATE,-6.501,-0.7029693443248858,L5_Weak,Succinimide,Other,255.2259999999999,-0.592200000000001,6,0,89.98000000000002,5,1,2,2,0,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O
PRAMIPEXOLE,-6.497,-0.7001021773369906,L5_Weak,N-heterocycle,Other,211.33399999999997,1.5822,4,2,50.94,3,2,0,0,0,CCCN[C@H]1CCc2nc(N)sc2C1
PHENYL AMINOSALICYLATE,-6.485,-0.6915006763733067,L5_Weak,Salicylate,Other,229.23500000000004,2.1936,4,2,72.55000000000001,2,2,1,0,0,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1
Hippuric_Acid,-6.485,-0.5933611879803365,L5_Weak,Amino_acid,Carboxylic_acid,179.17499999999998,0.501,2,2,66.4,3,1,1,1,0,C1=CC=CC=C1C(=O)NCC(=O)O
CEDAZURIDINE,-6.483,-0.6900670928793589,L5_Weak,Carbonyl,Other,268.216,-1.5664999999999996,5,4,102.26,2,2,0,2,1,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
ISOCARBOXAZID,-6.468,-0.6793152166747537,L5_Weak,Carbonyl,Other,231.25500000000002,1.4176199999999997,4,2,67.16,4,2,0,1,0,Cc1cc(C(=O)NNCc2ccccc2)no1
CHLOROTHIAZIDE,-6.464,-0.6764480496868593,L5_Weak,Sulfonamide,Other,295.72900000000004,-0.0608999999999999,5,2,118.69,1,2,0,0,0,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
ZILEUTON,-6.452,-0.6678465487231747,L5_Weak,Carbonyl,Other,236.29599999999996,2.7321999999999997,3,2,66.56,2,2,0,2,1,CC(c1cc2ccccc2s1)N(O)C(N)=O
THIAMYLAL,-6.439,-0.6585282560125167,L5_Weak,Carbonyl,Other,254.355,1.5159999999999998,3,2,58.2,5,1,0,2,0,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
PHENYLBUTANOIC ACID,-6.436,-0.6563778807715956,L5_Weak,Small_acid,Carboxylic_acid,164.204,2.0939,1,1,37.3,4,1,1,0,0,O=C(O)CCCc1ccccc1
Biotin_Methyl_Ester,-6.426,-0.5789253865818368,L5_Weak,Biotin_analog,Biotin_analog,258.34299999999996,0.8852,4,2,67.42999999999999,5,2,1,2,1,C1C2C(C(S1)CCCCC(=O)OC)NC(=O)N2
SULTHIAME,-6.404,-0.6334405448684376,L5_Weak,Sulfonamide,Other,290.36599999999993,0.2639999999999998,4,1,97.53999999999999,2,2,0,0,0,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
BRIVARACETAM,-6.395,-0.6269894191456741,L5_Weak,Carbonyl,Other,212.29299999999995,0.8988999999999999,2,1,63.4,5,1,0,2,0,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1
FENOPROFEN,-6.394,-0.6262726273987008,L5_Weak,Profens,Profens,242.274,3.6670000000000016,2,1,46.53,4,2,1,0,0,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
Azelaic_Acid,-6.394,-0.5710957993826504,L5_Weak,Dicarboxylic_acid,Carboxylic_acid,202.25,2.2764,2,2,74.6,9,0,2,0,0,C(CCCCCCC(=O)O)CC(=O)O
ZOLEDRONIC ACID ANHYDROUS,-6.393,-0.6255558356517269,L5_Weak,N-heterocycle,Carboxylic_acid,272.09,-1.1154000000000002,4,5,153.10999999999999,4,1,0,0,0,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
MOLSIDOMINE,-6.393,-0.6255558356517269,L5_Weak,Small_acid,Other,242.23499999999993,0.09200000000000008,6,0,82.78000000000002,3,2,1,1,0,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1
ETHOTOIN,-6.392,-0.6248390439047535,L5_Weak,Hydantoin/Ureide,Other,204.22899999999998,1.2993999999999999,2,1,49.410000000000004,2,2,0,3,1,CCN1C(=O)NC(c2ccccc2)C1=O
