gene,distance,Z,FC,p.value,p.adj
JUNB,4.51310516992057e-07,0.164529577587657,0.0707396421406875,0.79026289096428,0.999999999992859
RPLP1,4.50771442562855e-07,0.163943340113171,0.0705707510736361,0.790507573059722,0.999999999992859
LINC00493,4.43709305820759e-07,0.156210155910094,0.0683768397459554,0.793714926088316,0.999999999992859
PSMA3,4.43165469361862e-07,0.155610499998679,0.0682093290386636,0.793962061343918,0.999999999992859
PSMA2,4.43059146061312e-07,0.155493193680007,0.0681766036955489,0.794010380191983,0.999999999992859
LSM3,4.42761326793405e-07,0.155164488179867,0.0680849794407704,0.794145728993978,0.999999999992859
CCT3,4.41772700043634e-07,0.154072041341653,0.0677812696086308,0.794595070892549,0.999999999992859
PSMB3,4.41586371361231e-07,0.153865922672254,0.0677241047759787,0.794679766998021,0.999999999992859
GDF15,4.41057637988027e-07,0.153280646843018,0.0675620229757326,0.794920117071442,0.999999999992859
CANX,4.40937234795795e-07,0.153147287987972,0.0675251408442096,0.794974852325193,0.999999999992859
SRP14,4.39352081110032e-07,0.151388798841882,0.0670405125613183,0.795695556709313,0.999999999992859
TXN,4.38892450802267e-07,0.1508779427333,0.0669003164192469,0.795904564395157,0.999999999992859
MRPL57,4.38062463957751e-07,0.14995434985759,0.0666475261075504,0.79628202139317,0.999999999992859
CSTB,4.37501139504716e-07,0.149328911584124,0.0664768339326438,0.796537324564057,0.999999999992859
KRT18,4.37191748401385e-07,0.148983902972243,0.0663828452923585,0.796678052009012,0.999999999992859
VPS29,4.37088531457681e-07,0.148868759357643,0.0663515042361605,0.796725002007558,0.999999999992859
NDUFS6,4.35026270199208e-07,0.146563553892242,0.0657268649563214,0.797663210907365,0.999999999992859
GDI2,4.3445150024841e-07,0.145919488789248,0.0655532990228789,0.79792474995211,0.999999999992859
TPM4,4.32727301115226e-07,0.143983248469128,0.0650340113353584,0.798709452676723,0.999999999992859
RAD23A,4.32494626941336e-07,0.143721479559198,0.0649640935524317,0.798815360941626,0.999999999992859
CLDN3,4.29500602526178e-07,0.140342799707485,0.0640677548475983,0.800178505880739,0.999999999992859
ACTR2,4.28906592178581e-07,0.139670196844536,0.0638906626979608,0.800449024488065,0.999999999992859
SLC40A1,4.28363489213033e-07,0.13905457309612,0.0637289620382905,0.800696380283391,0.999999999992859
PSMD7,4.2526752446894e-07,0.135533021418134,0.0628110984494805,0.802106815862668,0.999999999992859
LAMTOR4,4.21339397771355e-07,0.131034759839447,0.0616561057145721,0.803897289243389,0.999999999992859
NDUFA12,4.2085913491872e-07,0.130482452087968,0.0615156286489466,0.804116267923932,0.999999999992859
PRDX2,4.19555638106605e-07,0.128980826362886,0.0611351628687725,0.804710682419227,0.999999999992859
KRT17,4.18221875054291e-07,0.127440398869772,0.0607470845930393,0.80531901565619,0.999999999992859
SCP2,4.17569063290265e-07,0.126684977231543,0.0605575896692593,0.805616807999031,0.999999999992859
SQSTM1,4.15837713337119e-07,0.124676826321446,0.0600564557057895,0.806406732221523,0.999999999992859
SARAF,4.14658198552357e-07,0.123304835381343,0.0597162411910331,0.806944996164284,0.999999999992859
SNRPB2,4.12211750543289e-07,0.120449013955389,0.059013678392542,0.808061708124617,0.999999999992859
RNF7,4.11049488543597e-07,0.119087430563644,0.0586813605517892,0.808592374434053,0.999999999992859
JUN,4.10085329837265e-07,0.117955544417373,0.0584063971163306,0.809032657451434,0.999999999992859
GHITM,4.05694606761202e-07,0.112773446422556,0.0571623952921657,0.811038443520473,0.999999999992859
HSP90AA1,4.05075780614694e-07,0.112039419035412,0.0569881430064749,0.811321238020963,0.999999999992859
PRELID1,4.04691252548721e-07,0.111582847037495,0.0568799995899564,0.811496974129664,0.999999999992859
CLTA,3.97173810024441e-07,0.10258524910687,0.0547864494905594,0.814934475282013,0.999999999992859
PTTG1,3.96318635013562e-07,0.101552934749304,0.0545507765350415,0.815325748308324,0.999999999992859
PGAM1,3.92900399495931e-07,0.0974084607324774,0.0536138371747239,0.816890171862739,0.999999999992859
KDELR2,3.92177017504019e-07,0.0965276292337591,0.0534165984761533,0.817221335813135,0.999999999992859
NDUFA3,3.89831769099181e-07,0.0936627980189031,0.0527796380771386,0.81829521356994,0.999999999992859
SEPW1,3.84434306236922e-07,0.0870158711367852,0.0513282222852726,0.820767977788815,0.999999999992859
NDUFB5,3.84025385823429e-07,0.086509200964634,0.0512190853299012,0.820955391300153,0.999999999992859
KTN1,3.80505035700832e-07,0.0821290764953376,0.0502843415571654,0.822569234961991,0.999999999992859
NDUFAB1,3.79299684823366e-07,0.0806217632713528,0.0499662681023648,0.82312198015204,0.999999999992859
RHOB,3.78534529702519e-07,0.0796628989659413,0.0497648791474398,0.823472907618964,0.999999999992859
H2AFZ,3.77773923658142e-07,0.0787081708150906,0.0495650905595974,0.823821783705429,0.999999999992859
CCT7,3.74331215378246e-07,0.0743671480409557,0.0486658192653434,0.825401325521722,0.999999999992859
DDX21,3.72649939268384e-07,0.0722353535999794,0.0482296443982202,0.826172965683854,0.999999999992859
TFF2,3.70772043176819e-07,0.0698449786304216,0.0477447815514383,0.827035045246067,0.999999999992859
CYCS,3.70009952127061e-07,0.0688721012784676,0.0475487124178628,0.827384955400228,0.999999999992859
GAPDH,3.68200478826556e-07,0.0665555975946132,0.0470847911238953,0.828215902843614,0.999999999992859
C19orf43,3.67436780869811e-07,0.0655751237032931,0.0468896731413514,0.828566666448646,0.999999999992859
LY6E,3.64809159502058e-07,0.0621889317958356,0.0462214343117549,0.829773783821273,0.999999999992859
COX7A2,3.64572047678822e-07,0.0618823925621898,0.0461613695540406,0.829882731733393,0.999999999992859
GSTK1,3.62993559360093e-07,0.05983757013397,0.0457625049629806,0.830608097295864,0.999999999992859
C11orf31,3.57570530007637e-07,0.0527568181781028,0.0444053591229651,0.833101247925523,0.999999999992859
HLA-E,3.51973497106656e-07,0.0453566267465288,0.04302608954059,0.83567615493729,0.999999999992859
BST2,3.47551246692592e-07,0.0394416590207816,0.0419517084336625,0.837711852570609,0.999999999992859
HNRNPK,3.46958364193804e-07,0.0386440014179953,0.0418087009249638,0.837984857507628,0.999999999992859
SNRPE,3.44229847736058e-07,0.0349587225869911,0.0411537106516992,0.83924150995226,0.999999999992859
LSM5,3.4210633813427e-07,0.0320741121889981,0.040647532872297,0.840219802772791,0.999999999992859
TRMT112,3.41649948258572e-07,0.0314522430467388,0.04053915283798,0.840430092137305,0.999999999992859
C1QBP,3.41497836663779e-07,0.0312448281434044,0.0405030626674285,0.840500182661792,0.999999999992859
FCGBP,3.402946559295e-07,0.0296015513998519,0.0402181609716179,0.841054633097274,0.999999999992859
CD46,3.39915412482838e-07,0.0290826093148409,0.0401285681754132,0.841229412635699,0.999999999992859
VDAC1,3.39907891748911e-07,0.0290723134693374,0.0401267924810236,0.841232878748129,0.999999999992859
MT2A,3.39635394021866e-07,0.0286991403923683,0.0400624804892443,0.841358468002487,0.999999999992859
CCT8,3.34956141195611e-07,0.0222527898055688,0.0389661806537202,0.843515677882753,0.999999999992859
LYZ,3.33248141509612e-07,0.0198815081960027,0.0385698031560866,0.844303386321358,0.999999999992859
NDUFB9,3.30728283924655e-07,0.0163649683821827,0.0379887168959144,0.845465797769917,0.999999999992859
ATP5A1,3.29874685181613e-07,0.0151688002778763,0.0377928747142578,0.84585963968185,0.999999999992859
OSTC,3.26867278839144e-07,0.0109342782730354,0.0371069146553573,0.847247533119877,0.999999999992859
RAN,3.26627423682736e-07,0.0105951913747409,0.0370524765400691,0.847358244774916,0.999999999992859
RPN2,3.23862405811963e-07,0.00667153734021501,0.0364278068935843,0.848634730776815,0.999999999992859
YBX3,3.23581025357945e-07,0.00627072241292846,0.036364535455542,0.848764653954934,0.999999999992859
NOP56,3.23074085927831e-07,0.00554789156324812,0.0362506834363831,0.848998735952534,0.999999999992859
LRRFIP1,3.19961882226385e-07,0.00108994674041881,0.0355556347434221,0.850436103725952,0.999999999992859
MT-CYB,3.18770100853115e-07,-0.000626517294809962,0.0352912555905315,0.850986658515101,0.999999999992859
TUBB4B,3.17970588763093e-07,-0.00178094443060162,0.0351144485360243,0.851356041492863,0.999999999992859
MT-RNR2,3.14799653126273e-07,-0.00638289769751647,0.0344175887167215,0.852821367464071,0.999999999992859
DYNLL1,3.14396935283327e-07,-0.00697005536655413,0.034329585371422,0.853007504494538,0.999999999992859
TPM1,3.13846030128955e-07,-0.00777426045948314,0.0342093820632133,0.853262147266006,0.999999999992859
ATP5J2,3.11312685343328e-07,-0.0114872639446116,0.0336593391909305,0.854433321924572,0.999999999992859
HLA-B,3.10121848390424e-07,-0.0132411192760542,0.0334023235007146,0.854983961256989,0.999999999992859
TMEM176A,3.09878992511811e-07,-0.0135994681548513,0.033350029381894,0.855096265745265,0.999999999992859
SNRPD3,3.09111861876069e-07,-0.0147329201252008,0.0331851123501834,0.855451031270208,0.999999999992859
LSM7,3.0689417668523e-07,-0.0180225218530966,0.0327106553964667,0.85647678110041,0.999999999992859
C19orf70,3.06197493410177e-07,-0.0190599395593767,0.0325623104519259,0.856799069374958,0.999999999992859
CTSD,3.04846227128252e-07,-0.0210775725627635,0.0322755460914067,0.857424238208531,0.999999999992859
ENO1,3.04084374028029e-07,-0.0222183383519406,0.0321144255216239,0.857776752095948,0.999999999992859
CALM3,3.02312733584958e-07,-0.0248801366009338,0.0317413088477971,0.858596610049635,0.999999999992859
PHB2,2.98260007550061e-07,-0.0310172175732819,0.0308959817068574,0.860472652819749,0.999999999992859
SSR2,2.96898929687261e-07,-0.0330935348677812,0.0306146440407706,0.861102885035568,0.999999999992859
BEX3,2.9678422883833e-07,-0.0332688640903895,0.0305909939227878,0.86115600005581,0.999999999992859
PDXK,2.95143866695176e-07,-0.0357823393280295,0.0302537682403642,0.861915678271304,0.999999999992859
PTMA,2.94477700248361e-07,-0.0368063319813794,0.0301173513751669,0.862224227230512,0.999999999992859
MZT2A,2.90360817081397e-07,-0.0431767299776391,0.0292811392510794,0.864131512637711,0.999999999992859
PSMB2,2.81331868986281e-07,-0.0574095707899596,0.0274884222265705,0.868317236321116,0.999999999992859
SF3B5,2.80997499978993e-07,-0.0579437542085937,0.0274231198883068,0.868472317862511,0.999999999992859
C14orf2,2.79635680896938e-07,-0.0601247362687811,0.0271579585738038,0.869103986639118,0.999999999992859
RPL4,2.7883582596704e-07,-0.0614097533216942,0.0270028184275393,0.869475031857314,0.999999999992859
SDF2L1,2.76301504915489e-07,-0.0655012075572163,0.026514195305445,0.870650869105321,0.999999999992859
ANAPC11,2.7625080676334e-07,-0.0655833666430856,0.0265044660976105,0.870674394219451,0.999999999992859
XBP1,2.73187335019393e-07,-0.0705708131590897,0.0259198851809954,0.872096127512333,0.999999999992859
UQCRC1,2.71957758018975e-07,-0.072585417395417,0.0256870868896122,0.872666881074971,0.999999999992859
CKB,2.71389376681378e-07,-0.0735191897132375,0.0255798290262842,0.872930738679792,0.999999999992859
HBA2,2.69868712057215e-07,-0.0760252807890047,0.0252939713935985,0.873636740720268,0.999999999992859
FOS,2.69404067747161e-07,-0.0767933175932165,0.0252069469865202,0.873852482171135,0.999999999992859
PSAP,2.66467030939084e-07,-0.0816732119779554,0.0246603318241214,0.875216409604618,0.999999999992859
ANXA4,2.64988289503783e-07,-0.0841467317978588,0.0243873894582593,0.875903261368722,0.999999999992859
MKI67,2.64809831334905e-07,-0.08444600138368,0.0243545528118614,0.875986158667714,0.999999999992859
CEACAM7,2.63583618425038e-07,-0.086506777988749,0.0241295254857682,0.876555795218408,0.999999999992859
SQLE,2.62185395921722e-07,-0.0888661766049969,0.0238742064323862,0.877205416748373,0.999999999992859
