name,best_affinity,all_affinities,status
NEOSTIGMINE,-5.373,"[-5.373, -5.238, -4.769, -3.866, -2.848, 0.0, 1.0, 10.0, 16.0]",
MOXISYLYTE,-5.369,"[-5.369, -4.624, -3.67, -1.47, 0.0, 1.0, 1.596, 10.0, 16.0]",
OCTINOXATE,-5.328,"[-5.328, -5.194, -5.033, -4.725, -4.715, 0.0, 1.0, 10.0, 16.0]",
DINOPROST,-5.313,"[-5.313, -4.863, -4.73, -4.391, -3.947, 0.0, 1.0, 10.0, 16.0]",success
ENALAPRILAT ANHYDROUS,-5.3,"[-5.3, -4.623, -4.562, -4.279, -4.241, 0.0, 1.0, 10.0, 16.0]",
PIPERIDOLATE,-5.295,"[-5.295, -4.891, -4.607, -3.676, -3.5, 0.0, 1.0, 10.0, 16.0]",success
COCAINE,-5.29,"[-5.29, -5.27, -5.248, -5.173, -4.437, 0.0, 1.0, 10.0, 16.0]",success
METHACHOLINE,-5.285,"[-5.285, -5.165, -4.826, -4.768, -4.458, 0.0, 1.0, 10.0, 16.0]",
MALATHION,-5.264,"[-5.264, -4.971, -4.938, -4.819, -4.332, 0.0, 1.0, 10.0, 16.0]",
CHLORPROPAMIDE,-5.209,"[-5.209, -5.203, -5.153, -5.092, -3.865, 0.0, 1.0, 10.0, 16.0]",
TIOPRONIN,-5.183,"[-5.183, -4.683, -4.513, -4.465, -4.414, 0.0, 1.0, 10.0, 16.0]",
AVOBENZONE,-5.156,"[-5.156, -4.894, -4.456, -4.11, -3.398, 0.0, 1.0, 10.0, 16.0]",
METIPRANOLOL,-5.077,"[-5.077, -4.554, -4.268, -4.166, -4.071, 0.0, 1.0, 10.0, 16.0]",
LEVOCARNITINE,-5.038,"[-5.038, -5.036, -5.026, -4.892, -4.857, 0.0, 1.0, 10.0, 16.0]",
PROPANIDID,-5.017,"[-5.017, -4.937, -4.928, -4.117, 0.0, 1.0, 10.0, 14.7, 16.0]",
DICYCLOMINE,-5.009,"[-5.009, -4.62, -4.157, -4.015, -3.994, 0.0, 1.0, 10.0, 16.0]",success
CILASTATIN,-4.992,"[-4.992, -4.577, -4.525, -4.259, -4.185, 0.0, 1.0, 10.0, 16.0]",success
PROPARACAINE,-4.978,"[-4.978, -4.965, -4.858, -4.757, -4.622, 0.0, 1.0, 10.0, 16.0]",
OXELADIN,-4.973,"[-4.973, -4.166, -4.086, -4.02, -3.937, 0.0, 1.0, 10.0, 16.0]",
AZARIBINE,-4.971,"[-4.971, -4.52, -2.362, -2.351, -2.292, 0.0, 1.0, 10.0, 16.0]",success
LODOXAMIDE,-4.969,"[-4.969, -3.075, -2.969, -2.918, -2.876, 0.0, 1.0, 10.0, 16.0]",
ACETYLCYSTEINE,-4.951,"[-4.951, -4.905, -4.894, -4.739, -4.687, 0.0, 1.0, 10.0, 16.0]",
PEFICITINIB,-4.95,"[-4.95, -4.621, -3.832, -3.628, -3.111, 0.0, 1.0, 10.0, 16.0]",success
DIPIVEFRIN,-4.893,"[-4.893, 0.0, 1.0, 1.209, 4.24, 10.0, 16.0]",
ACEBUTOLOL,-4.888,"[-4.888, -4.811, -4.566, -4.276, -3.792, 0.0, 1.0, 10.0, 16.0]",
IDEBENONE,-4.875,"[-4.875, -4.385, -4.325, -4.163, -4.013, 0.0, 1.0, 10.0, 16.0]",
NILUTAMIDE,-4.869,"[-4.869, -4.499, -3.977, -3.674, -3.657, 0.0, 1.0, 10.0, 16.0]",
SERATRODAST,-4.869,"[-4.869, -4.256, -3.675, -3.348, -1.203, 0.0, 1.0, 10.0, 16.0]",
OSELTAMIVIR,-4.862,"[-4.862, -4.014, -3.877, -3.525, -3.433, 0.0, 1.0, 10.0, 16.0]",
TARTARIC ACID,-4.72,"[-4.72, -4.714, -4.65, -4.605, -4.604, 0.0, 1.0, 10.0, 16.0]",
FLUMAZENIL,-4.694,"[-4.694, -4.649, -3.418, -2.194, -1.756, 0.0, 1.0, 10.0, 16.0]",
XYLOSE,-4.693,"[-4.693, -4.602, -4.488, -4.474, -4.342, 0.0, 1.0, 10.0, 16.0]",
CINCHOPHEN,-4.692,"[-4.692, -4.142, -4.026, -2.297, -2.006, 0.0, 1.0, 10.0, 16.0]",
BEMPEDOIC ACID,-4.682,"[-4.682, -4.435, -4.238, -4.1, -4.039, 0.0, 1.0, 10.0, 16.0]",
BENZARONE,-4.68,"[-4.68, -4.242, -4.034, -3.362, -1.704, 0.0, 1.0, 10.0, 16.0]",success
SUCCIMER,-4.658,"[-4.658, -4.461, -4.449, -4.442, -4.421, 0.0, 1.0, 10.0, 16.0]",
DISOPYRAMIDE,-4.578,"[-4.578, -3.824, -3.523, -2.052, -1.874, 0.0, 1.0, 10.0, 16.0]",
FOSPHENYTOIN,-4.558,"[-4.558, -2.488, -0.449, 0.0, 0.266, 0.457, 1.0, 10.0, 16.0]",success
GLICLAZIDE,-4.547,"[-4.547, -2.463, -2.402, -1.917, -1.874, 0.0, 1.0, 10.0, 16.0]",success
SELENOMETHIONINE,-4.544,"[-4.544, -4.535, -4.524, -4.388, -4.147, 0.0, 1.0, 10.0, 16.0]",
SELENOMETHIONINE SE 75,-4.533,"[-4.533, -4.518, -4.511, -4.294, -4.145, 0.0, 1.0, 10.0, 16.0]",
IOPHENDYLATE,-4.528,"[-4.528, -3.994, -3.774, -3.396, -0.64, 0.0, 1.0, 10.0, 16.0]",success
PERAMIVIR ANHYDROUS,-4.485,"[-4.485, -4.178, -4.16, -3.774, -3.446, 0.0, 1.0, 10.0, 16.0]",
PROCAINAMIDE,-4.457,"[-4.457, -4.409, -4.224, -3.877, -3.821, 0.0, 1.0, 10.0, 16.0]",
TRIBROMSALAN,-4.442,"[-4.442, -2.245, -1.75, 0.0, 0.807, 1.0, 1.093, 10.0, 16.0]",
ARTESUNATE,-4.434,"[-4.434, -1.978, -1.844, -1.63, -0.901, 1.0, 10.0, 16.0]",success
PHYSOSTIGMINE,-4.422,"[-4.422, -4.223, -3.245, -2.701, -1.105, 0.0, 1.0, 10.0, 16.0]",success
NORETHYNODREL,-4.369,"[-4.369, 0.0, 0.684, 1.0, 2.056, 4.706, 5.141, 10.0, 16.0]",success
PHENOTHRIN,-4.282,"[-4.282, -2.664, -2.457, -2.359, -2.277, 1.0, 10.0, 16.0]",success
IPRATROPIUM,-4.251,"[-4.251, -3.574, -2.531, -2.372, -1.863, 0.0, 1.0, 10.0, 16.0]",
BUMETANIDE,-4.245,"[-4.245, -3.361, -3.232, -3.098, -2.833, 0.0, 1.0, 10.0, 16.0]",success
PIOGLITAZONE,-4.244,"[-4.244, -3.779, -3.644, -2.104, -1.277, 0.0, 1.0, 10.0, 16.0]",success
METOCLOPRAMIDE,-4.205,"[-4.205, -2.131, -1.881, -1.644, -0.993, 0.0, 1.0, 10.0, 16.0]",
SUXAMETHONIUM,-4.125,"[-4.125, -4.093, -3.957, -3.907, -3.804, 0.0, 1.0, 10.0, 16.0]",
