chembl_id,name,smiles,mw,alogp,ro5_violations,first_approval
CHEMBL76,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,319.88,4.81,0,1949
CHEMBL490,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.37,3.33,0,1992
CHEMBL416146,ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.85,4.18,0,None
CHEMBL79,LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.34,2.58,0,1948
CHEMBL9967,PIRENZEPINE,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,351.41,1.56,0,None
CHEMBL492,ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,276.42,3.75,0,1976
CHEMBL80,NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,327.38,1.30,0,1971
CHEMBL81,RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,473.59,6.08,1,1997
CHEMBL83,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.52,6.00,1,1977
CHEMBL493,BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,654.61,3.19,1,1978
CHEMBL494,ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,360.49,3.54,0,2003
CHEMBL84,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,421.45,1.85,0,1996
CHEMBL85,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.49,3.59,0,1993
CHEMBL428880,CROMOLYN,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,468.37,2.11,0,1982
CHEMBL86,METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.80,2.00,0,1979
CHEMBL428647,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.92,3.74,2,1992
CHEMBL495,ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,354.49,3.48,0,1981
CHEMBL496,HEXACHLOROPHENE,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,406.91,6.61,1,1949
CHEMBL497,CLIOQUINOL,Oc1c(I)cc(Cl)c2cccnc12,305.50,3.20,0,1934
