name,best_affinity,round,exhaustiveness,z_score,hit_level
AGOMELATINE,-6.516,R5-FDA,16,-0.8600808796633712,L5_Weak
METHYLDOPATE,-6.516,R5-FDA,16,-0.8600808796633712,L5_Weak
DURLOBACTAM,-6.513,R5-FDA,16,-0.8586675393873375,L5_Weak
PINDOLOL,-6.51,R4,16,-0.7287113146939908,L5_Weak
IBUFENAC,-6.507,R5-FDA,16,-0.8558408588352704,L5_Weak
DIROXIMEL FUMARATE,-6.501,R4,16,-0.7216363391502397,L5_Weak
PRAMIPEXOLE,-6.497,R4,16,-0.7184919055752388,L5_Weak
CLOFOREX,-6.489,R5-FDA,16,-0.8473608171790692,L5_Weak
PHENYL AMINOSALICYLATE,-6.485,R4,16,-0.7090586048502371,L5_Weak
Hippuric_Acid,-6.485,R1-R3,8,-0.6630180900674618,L5_Weak
CEDAZURIDINE,-6.483,R4,16,-0.7074863880627362,L5_Weak
MEPROBAMATE,-6.477,R5-FDA,16,-0.8417074560749351,L5_Weak
ISOCARBOXAZID,-6.468,R4,16,-0.6956947621564841,L5_Weak
CHLOROTHIAZIDE,-6.464,R4,16,-0.6925503285814837,L5_Weak
ZILEUTON,-6.452,R4,16,-0.6831170278564814,L5_Weak
DIETHYLPROPION,-6.446,R5-FDA,16,-0.8271029398892549,L5_Weak
THIAMYLAL,-6.439,R4,16,-0.6728976187377294,L5_Weak
PHENYLBUTANOIC ACID,-6.436,R4,16,-0.6705392935564788,L5_Weak
Biotin_Methyl_Ester,-6.426,R1-R3,8,-0.6203900346765449,L5_Weak
SULTHIAME,-6.404,R4,16,-0.6453838249564735,L5_Weak
BRIVARACETAM,-6.395,R4,16,-0.6383088494127217,L5_Weak
FENOPROFEN,-6.394,R4,16,-0.637522741018972,L5_Weak
Azelaic_Acid,-6.394,R1-R3,8,-0.597269733447573,L5_Weak
ZOLEDRONIC ACID ANHYDROUS,-6.393,R4,16,-0.6367366326252216,L5_Weak
MOLSIDOMINE,-6.393,R4,16,-0.6367366326252216,L5_Weak
ETHOTOIN,-6.392,R4,16,-0.6359505242314718,L5_Weak
CARTEOLOL,-6.374,R4,16,-0.6218005731439684,L5_Weak
METHYL SALICYLATE,-6.374,R5-FDA,16,-0.7931827732644495,L5_Weak
LEVACETYLLEUCINE,-6.364,R5-FDA,16,-0.7884716390110045,L5_Weak
DEXMETHYLPHENIDATE,-6.361,R4,16,-0.6115811640252163,L5_Weak
NITROFURAZONE,-6.36,R4,16,-0.6107950556314665,L5_Weak
TAZOBACTAM,-6.359,R5-FDA,16,-0.7861160718842819,L5_Weak
PROPAFENONE,-6.357,R4,16,-0.608436730450216,L5_Weak
TYROSINE,-6.356,R4,16,-0.6076506220564656,L5_Weak
GABAPENTIN,-6.35,R4,16,-0.6029339716939645,L5_Weak
AMINEPTINE,-6.35,R5-FDA,16,-0.7818760510561812,L5_Weak
AZELAIC ACID,-6.349,R4,16,-0.6021478633002146,L5_Weak
DROXIDOPA,-6.346,R4,16,-0.5997895381189641,L5_Weak
BENZPHETAMINE,-6.346,R4,16,-0.5997895381189641,L5_Weak
MOLINDONE,-6.343,R4,16,-0.5974312129377135,L5_Weak
NITAZOXANIDE,-6.334,R4,16,-0.5903562373939618,L5_Weak
Sebacic_Acid,-6.334,R1-R3,8,-0.5539191686432504,L5_Weak
SECNIDAZOLE,-6.318,R4,16,-0.5777785030939592,L5_Weak
CARISOPRODOL,-6.314,R5-FDA,16,-0.7649159677437787,L5_Weak
PRACTOLOL,-6.309,R4,16,-0.570703527550208,L5_Weak
Levodopa,-6.308,R1-R3,8,-0.5351339238947109,L5_Weak
METHYLPHENIDATE,-6.295,R4,16,-0.5596980100377056,L5_Weak
LEVODOPA,-6.294,R4,16,-0.5589119016439552,L5_Weak
PRILOCAINE,-6.284,R5-FDA,16,-0.7507825649834431,L5_Weak
Pantothenic_Acid,-6.283,R1-R3,8,-0.517071188559577,L5_Weak
BUPROPION,-6.277,R5-FDA,16,-0.7474847710060316,L5_Weak
TETRACAINE,-6.276,R5-FDA,16,-0.7470136575806869,L5_Weak
MIDODRINE,-6.272,R5-FDA,16,-0.745129203879309,L5_Weak
ZALCITABINE,-6.27,R4,16,-0.5400453001939512,L5_Weak
THIOPENTAL,-6.268,R4,16,-0.5384730834064511,L5_Weak
ESMOLOL,-6.261,R5-FDA,16,-0.7399469562005193,L5_Weak
ROPINIROLE,-6.261,R4,16,-0.5329703246502001,L5_Weak
RILUZOLE,-6.25,R4,16,-0.5243231323189482,L5_Weak
PROPRANOLOL,-6.239,R4,16,-0.5156759399876963,L5_Weak
LINDANE,-6.238,R4,16,-0.5148898315939466,L5_Weak
ISOSORBIDE MONONITRATE,-6.232,R4,16,-0.5101731812314455,L5_Weak
L-Tyrosine,-6.23,R1-R3,8,-0.47877818964909247,L5_Weak
MOXONIDINE,-6.227,R4,16,-0.5062426392626947,L5_Weak
HEXYLCAINE,-6.226,R4,16,-0.5054565308689443,L5_Weak
ACIPIMOX,-6.223,R4,16,-0.5030982056876937,L5_Weak
QUINETHAZONE,-6.222,R4,16,-0.502312097293944,L5_Weak
PIRFENIDONE,-6.217,R4,16,-0.4983815553251925,L5_Weak
LIDOCAINE,-6.212,R5-FDA,16,-0.7168623983586377,L5_Weak
